mes_ano,Alfaiataria,Jeans e Sarja,Malha,Outros,Tecido Plano,Total
2025-01,3865194.5,10375722.0,3327922.0,4951652.0,1956561.1,24477052.0
2025-02,4852057.0,12281620.0,4530405.0,5810620.5,1800971.0,29275672.0
2025-03,1988366.9,6090667.5,1642687.9,2431132.0,1105164.8,13258019.0
2025-04,1349747.6,4675455.0,1070804.5,1691957.8,1455421.2,10243386.0
2025-05,2325975.8,7015935.0,1955296.5,2582134.5,1407526.6,15286869.0
2025-06,5795016.5,15029177.0,5493947.5,6357525.5,2802540.0,35478210.0
2025-07,3218110.2,9439696.0,3028997.5,3556873.5,2077710.6,21321388.0
2025-08,1739703.9,5675603.0,1722503.5,2102276.2,1620756.8,12860843.0
2025-09,2226909.8,7045601.5,2061885.9,2432354.0,1716491.1,15483242.0
2025-10,1481827.0,5295413.0,1385242.9,1859435.2,1806298.0,11828216.0
2025-11,2931145.8,8261261.0,2925646.5,3638979.8,2146868.2,19903902.0
2025-12,2539666.0,7266381.0,2431200.2,3348033.2,2819141.2,18404422.0
