unique_id,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Acessorio,2309727.2,1454500.5,1402501.2,1493176.2,2364508.8,2608432.0,2124041.5,1547554.0,1595962.1,1499276.5,1632485.4,1676389.8
Alfaiataria,10343348.0,6089778.5,5134507.5,4793841.0,8980970.0,9403310.0,6855088.0,4352267.0,3785437.8,3968169.5,4479391.5,6227632.5
Casual/Ville/Tricot/Moda,15643392.0,9632639.0,8623953.0,8587544.0,14251894.0,15473501.0,12138255.0,8740645.0,8336417.0,8129441.0,8870752.0,10370498.0
Couro,2456248.0,1377724.9,1266042.2,1204382.2,2471354.2,2480259.2,1698765.2,685110.4,424105.06,490057.38,607076.44,1121499.4
Fluidos/Plano,5931776.0,3251261.0,2833294.0,2845431.2,5140552.5,5686665.0,4383895.5,2988272.0,2934673.8,2700145.2,3002060.2,3648468.2
Jeans/Sarja,23052278.0,7499805.0,2445532.8,1111633.8,8932776.0,11370057.0,5378563.5,1601442.6,1293107.2,2412236.0,4750379.5,11330512.0
Outros,6492834.0,4239085.0,3935917.0,3900170.5,6849805.5,7106177.0,5493643.5,3614979.5,3248031.2,3145507.8,3379491.0,4191131.5
Seda,4996000.5,5259188.0,6335967.5,6862852.5,7971211.0,8215507.0,7792926.0,6717975.0,7613674.0,6810015.5,6931158.0,6010033.0
Total,71225600.0,38803980.0,31977716.0,30799030.0,56963070.0,62343908.0,45865176.0,30248244.0,29231410.0,29154850.0,33652790.0,44576164.0
