mes_ano,Dudalina Fem,Dudalina Masc,Total
2025-01,7444319.0,7446560.0,14890879.0
2025-02,4556300.0,4500324.0,9056624.0
2025-03,4599208.0,5206749.0,9805957.0
2025-04,5248485.5,5832541.0,11081026.0
2025-05,4975876.0,4508354.0,9484230.0
2025-06,10030641.0,11536091.0,21566732.0
2025-07,6858928.5,7522171.0,14381100.0
2025-08,5847471.0,7188842.5,13036314.0
2025-09,5234957.0,5363166.0,10598123.0
2025-10,5395829.0,5545926.5,10941756.0
2025-11,6715328.0,8135233.0,14850561.0
2025-12,8639634.0,11806889.0,20446524.0
