mes_ano,Jeans e Sarja,Malha e Moletom,Moda,Outros,Total
2024-10,1915698.8,1992215.5,3159902.8,929565.94,7997383.0
2024-11,3988303.5,3863936.2,5625456.5,1914726.0,15392422.0
2024-12,4688826.5,4484855.5,6567130.5,2260474.5,18001286.0
2025-01,2810873.8,2265989.8,2687298.2,1262496.6,9026659.0
2025-02,2517782.2,2311212.5,3426483.8,1284015.2,9539494.0
2025-03,1790189.0,1914282.6,3528762.0,1069204.2,8302438.0
2025-04,2110049.0,2243532.5,4043043.2,1293534.6,9690160.0
2025-05,2712473.5,3148197.0,5667221.0,1805106.4,13332998.0
2025-06,3770267.5,3432146.2,5705934.5,2088917.0,14997265.0
2025-07,4214144.0,3015723.5,4930887.5,2060484.1,14221239.0
2025-08,2158265.8,1969156.6,3226302.8,1301823.8,8655549.0
2025-09,2038730.0,1942329.6,3021416.5,1228856.2,8231332.0
