ID_COLECAO,MARCA,COLECAO,DATA_INICIO_LIQUIDACAO,FONTE,DATA_CARGA
DD:1602,DD,1602,2017-01-05,Plan,2024-10-09T05:31:52Z
DD:1702,DD,1702,2018-01-04,Plan,2024-10-09T05:31:52Z
DD:1801,DD,1801,2018-06-01,Plan,2024-10-09T05:31:52Z
DD:1802,DD,1802,2018-12-26,Plan,2024-10-09T05:31:52Z
DD:1901,DD,1901,2019-06-13,Plan,2024-10-09T05:31:52Z
DD:1902,DD,1902,2020-01-08,Plan,2024-10-09T05:31:52Z
DD:2001,DD,2001,2020-06-16,Plan,2024-10-09T05:31:52Z
DD:2002,DD,2002,2021-01-07,Plan,2024-10-09T05:31:52Z
DD:2101,DD,2101,2021-06-15,Plan,2024-10-09T05:31:52Z
DD:2102,DD,2102,2022-01-07,Plan,2024-10-09T05:31:52Z
DD:2201,DD,2201,2022-06-15,Plan,2024-10-09T05:31:52Z
DD:2202,DD,2202,2023-01-04,Plan,2024-10-09T05:31:52Z
DD:2301,DD,2301,2023-06-14,Plan,2024-10-09T05:31:52Z
DD:2302,DD,2302,2024-01-04,Plan,2024-10-09T05:31:52Z
DD:2401,DD,2401,2024-06-14,Plan,2024-10-09T05:31:52Z
